"No.","Time","Source","Destination","Protocol","Length","Info"
"4780","25.512114","host","2.2.1","USB","27","URB_INTERRUPT in"
"4799","25.584166","2.2.1","host","USB","35","URB_INTERRUPT in"
"4800","25.584199","host","2.2.1","USB","27","URB_INTERRUPT in"
"5339","28.120166","2.2.1","host","USB","35","URB_INTERRUPT in"
"5340","28.120195","host","2.2.1","USB","27","URB_INTERRUPT in"
"5357","28.184167","2.2.1","host","USB","35","URB_INTERRUPT in"
"5358","28.184206","host","2.2.1","USB","27","URB_INTERRUPT in"
"5595","29.128161","2.2.1","host","USB","35","URB_INTERRUPT in"
"5596","29.128188","host","2.2.1","USB","27","URB_INTERRUPT in"
"5615","29.200146","2.2.1","host","USB","35","URB_INTERRUPT in"
"5616","29.200172","host","2.2.1","USB","27","URB_INTERRUPT in"
"5693","29.576152","2.2.1","host","USB","35","URB_INTERRUPT in"
"5694","29.576181","host","2.2.1","USB","27","URB_INTERRUPT in"
"5743","29.816146","2.2.1","host","USB","35","URB_INTERRUPT in"
"5744","29.816174","host","2.2.1","USB","27","URB_INTERRUPT in"
"5763","29.888126","2.2.1","host","USB","35","URB_INTERRUPT in"
"5764","29.888145","host","2.2.1","USB","27","URB_INTERRUPT in"
"5807","30.112154","2.2.1","host","USB","35","URB_INTERRUPT in"
"5808","30.112180","host","2.2.1","USB","27","URB_INTERRUPT in"
"6197","32.200032","2.2.1","host","USB","35","URB_INTERRUPT in"
"6198","32.200191","host","2.2.1","USB","27","URB_INTERRUPT in"
"6199","32.256008","2.2.1","host","USB","35","URB_INTERRUPT in"
"6200","32.256164","host","2.2.1","USB","27","URB_INTERRUPT in"
